Rank	   Word	Part of speech	Frequency	Dispersion
1824	   frequently	r	20508	0.92
1825	   governor	n	20802	0.91
1826	   relief	n	19493	0.97
1827	   user	n	20681	0.91
1828	   dad	n	20164	0.94
1829	   kick	v	20092	0.94
1830	   part	r	19900	0.95
1831	   manner	n	20012	0.94
1832	   ancient	j	19818	0.95
1833	   silence	n	21169	0.89
1834	   rating	n	20413	0.92
1835	   golden	j	19852	0.95
1836	   motion	n	19649	0.95
1837	   German	j	20096	0.93
1838	   gender	n	22190	0.85
1839	   solve	v	19501	0.96
1840	   fee	n	20263	0.93
1841	   landscape	n	20171	0.93
1842	   used	j	19130	0.98
1843	   bowl	n	20662	0.91
1844	   equal	j	19952	0.94
1845	   long	c	19227	0.97
1846	   official	j	19628	0.95
1847	   forth	r	19531	0.96
1848	   frame	n	20016	0.93
1849	   typical	j	19724	0.95
1850	   except	i	19594	0.95
1851	   conservative	j	19778	0.94
1852	   eliminate	v	19773	0.94
1853	   host	n	19389	0.96
1854	   hall	n	20236	0.92
1855	   trust	v	19482	0.95
1856	   ocean	n	19421	0.96
1857	   score	v	20391	0.91
1858	   row	n	19519	0.95
1859	   producer	n	19679	0.94
1860	   afford	v	19035	0.97
1861	   meanwhile	r	19504	0.95
1862	   regime	n	21101	0.88
1863	   division	n	19772	0.94
1864	   confirm	v	19327	0.96
1865	   fix	v	19349	0.96
1866	   appeal	n	19561	0.95
1867	   mirror	n	20081	0.92
1868	   tooth	n	20515	0.90
1869	   smart	j	19370	0.95
1870	   length	n	19624	0.94
1871	   entirely	r	19075	0.97
1872	   rely	v	19614	0.94
1873	   topic	n	20640	0.89
1874	   complain	v	19102	0.97
1875	   issue	v	19300	0.95
1876	   variable	n	22868	0.81
1877	   back	v	19213	0.96
1878	   range	v	20067	0.92
1879	   telephone	n	19311	0.95
1880	   perception	n	21086	0.87
1881	   attract	v	19197	0.96
1882	   confidence	n	18955	0.97
1883	   bedroom	n	20387	0.90
1884	   secret	n	19125	0.96
1885	   debt	n	19506	0.94
1886	   rare	j	18978	0.97
1887	   his	p	19663	0.93
1888	   tank	n	19158	0.95
1889	   nurse	n	19385	0.94
1890	   coverage	n	19522	0.94
1891	   opposition	n	19847	0.92
1892	   aside	r	19056	0.96
1893	   anywhere	r	18970	0.96
1894	   bond	n	19856	0.92
1895	   file	v	19416	0.94
1896	   pleasure	n	19099	0.96
1897	   master	n	18880	0.96
1898	   era	n	19209	0.95
1899	   requirement	n	20358	0.89
1900	   check	n	18764	0.97
1901	   stand	n	18910	0.96
1902	   fun	n	18984	0.96
1903	   expectation	n	19603	0.92
1904	   wing	n	19028	0.95
1905	   separate	j	19064	0.95
1906	   now	c	19126	0.95
1907	   clear	v	19013	0.95
1908	   struggle	n	19014	0.95
1909	   mean	j	19792	0.91
1910	   somewhat	r	18801	0.96
1911	   pour	v	19300	0.93
1912	   stir	v	20174	0.89
1913	   judgment	n	19315	0.93
1914	   clean	v	18766	0.96
1915	   except	c	18857	0.95
1916	   beer	n	19349	0.93
1917	   English	n	18719	0.96
1918	   reference	n	19559	0.92
1919	   tear	n	19819	0.90
1920	   doubt	n	18542	0.97
1921	   grant	v	18598	0.96
1922	   seriously	r	18328	0.98
1923	   account	v	19403	0.92
1924	   minister	n	19154	0.93
1925	   totally	r	18720	0.95
1926	   hero	n	18348	0.97
1927	   industrial	j	19413	0.92
1928	   cloud	n	19214	0.92
1929	   stretch	v	19014	0.93
1930	   winner	n	19216	0.92
1931	   volume	n	18989	0.93
1932	   travel	n	18634	0.95
1933	   seed	n	19079	0.93
1934	   surprised	j	18822	0.94
1935	   rest	v	18915	0.94
1936	   fashion	n	18483	0.96
1937	   pepper	n	20220	0.87
1938	   separate	v	18251	0.97
1939	   busy	j	18500	0.95
1940	   intervention	n	21021	0.84
1941	   copy	n	18244	0.97
1942	   tip	n	18868	0.93
1943	   below	i	18353	0.96
1944	   cheap	j	18371	0.96
1945	   aim	v	18194	0.97
1946	   cite	v	19011	0.93
1947	   welfare	n	19580	0.90
1948	   vegetable	n	19363	0.91
1949	   gray	j	19408	0.90
1950	   dish	n	18887	0.93
1951	   beach	n	18451	0.95
1952	   improvement	n	18977	0.92
1953	   everywhere	r	18126	0.96
1954	   opening	n	18058	0.97
1955	   overall	j	19031	0.92
1956	   divide	v	18337	0.95
1957	   initial	j	19019	0.92
1958	   terrible	j	18659	0.93
1959	   oppose	v	18484	0.94
1960	   contemporary	j	19293	0.90
1961	   route	n	18313	0.95
1962	   multiple	j	19512	0.89
1963	   essential	j	19030	0.91
1964	   question	v	17924	0.97
1965	   league	n	19766	0.88
1966	   criminal	j	18424	0.94
1967	   careful	j	17885	0.97
1968	   core	n	18571	0.93
1969	   upper	j	18196	0.95
1970	   rush	v	18561	0.93
1971	   necessarily	r	18334	0.94
1972	   specifically	r	18873	0.92
1973	   tired	j	18597	0.93
1974	   rise	n	18055	0.96
1975	   tie	n	17787	0.97
1976	   employ	v	18912	0.91
1977	   holiday	n	18299	0.94
1978	   dance	v	18263	0.94
1979	   vast	j	17836	0.96
1980	   resolution	n	18922	0.91
1981	   household	n	18450	0.93
1982	   fewer	d	18223	0.94
1983	   abortion	n	18925	0.91
1984	   apart	r	17872	0.96
1985	   witness	n	18920	0.91
1986	   match	v	17788	0.97
1987	   barely	r	18533	0.93
1988	   sector	n	19103	0.90
1989	   representative	n	18189	0.94
1990	   lack	v	18215	0.94
1991	   beneath	i	19047	0.90
1992	   beside	i	19952	0.86
1993	   black	n	18441	0.93
1994	   incident	n	17880	0.96
1995	   limited	j	18532	0.92
1996	   proud	j	17841	0.96
1997	   flow	n	18469	0.92
1998	   faculty	n	20104	0.85
1999	   increased	j	18984	0.90
2000	   waste	n	19069	0.89
2001	   merely	r	18094	0.94
2002	   mass	n	18107	0.94
2003	   emphasize	v	18933	0.90
2004	   experiment	n	18440	0.92
2005	   definitely	r	18214	0.93
2006	   bomb	n	18284	0.93
2007	   enormous	j	17482	0.97
2008	   tone	n	17954	0.95
2009	   liberal	j	18228	0.93
2010	   massive	j	17551	0.97
2011	   engineer	n	17991	0.94
2012	   wheel	n	18296	0.93
2013	   female	n	18932	0.90
2014	   decline	v	18058	0.94
2015	   invest	v	18080	0.94
2016	   promise	n	17342	0.98
2017	   cable	n	18277	0.93
2018	   towards	i	18305	0.93
2019	   expose	v	17581	0.96
2020	   rural	j	18665	0.91
2021	   AIDS	n	19384	0.87
2022	   Jew	n	17893	0.95
2023	   narrow	j	17840	0.95
2024	   cream	n	18443	0.92
2025	   secretary	n	17922	0.94
2026	   gate	n	17999	0.94
2027	   solid	j	17675	0.96
2028	   hill	n	18131	0.93
2029	   typically	r	18254	0.92
2030	   noise	n	18024	0.93
2031	   grass	n	18139	0.93
2032	   unfortunately	r	17482	0.96
2033	   hat	n	18198	0.92
2034	   legislation	n	17934	0.94
2035	   succeed	v	17423	0.96
2036	   either	d	17257	0.97
2037	   celebrate	v	17421	0.96
2038	   achievement	n	18998	0.88
2039	   fishing	n	18103	0.93
2040	   drink	n	18227	0.92
2041	   accuse	v	17778	0.94
2042	   hand	v	18231	0.92
2043	   useful	j	18205	0.92
2044	   land	v	17401	0.96
2045	   secret	j	17305	0.96
2046	   reject	v	17656	0.94
2047	   talent	n	17474	0.95
2048	   taste	n	17409	0.96
2049	   characteristic	n	19621	0.85
2050	   milk	n	17812	0.93
2051	   escape	v	17195	0.97
2052	   cast	v	17163	0.97
2053	   sentence	n	17162	0.97
2054	   unusual	j	16997	0.97
2055	   closely	r	17220	0.96
2056	   convince	v	16948	0.98
2057	   height	n	17403	0.95
2058	   physician	n	17707	0.93
2059	   assess	v	19220	0.86
2060	   sleep	n	17882	0.92
2061	   plenty	p	17445	0.95
2062	   ride	n	17654	0.93
2063	   virtually	r	17426	0.94
2064	   first	r	17332	0.95
2065	   addition	i	17641	0.93
2066	   sharp	j	17403	0.94
2067	   creative	j	17597	0.93
2068	   lower	v	17206	0.95
2069	   behind	r	17347	0.95
2070	   approve	v	17329	0.95
2071	   explanation	n	17712	0.92
2072	   outside	j	16797	0.97
2073	   gay	j	17428	0.94
2074	   campus	n	17541	0.93
2075	   proper	j	17024	0.96
2076	   live	j	17365	0.94
2077	   guilty	j	17596	0.93
2078	   living	j	16823	0.97
2079	   acquire	v	17435	0.93
2080	   compete	v	17264	0.94
2081	   technical	j	17594	0.92
2082	   plus	i	17202	0.94
2083	   mind	v	17378	0.93
2084	   potential	n	17523	0.92
2085	   immigrant	n	17615	0.92
2086	   weak	j	16628	0.97
2087	   illegal	j	17258	0.94
2088	   hi	u	18910	0.85
2089	   alternative	n	17197	0.94
2090	   interaction	n	19144	0.84
2091	   column	n	16810	0.96
2092	   personality	n	16933	0.95
2093	   signal	n	16835	0.95
2094	   curriculum	n	19193	0.84
2095	   list	v	17006	0.94
2096	   honor	n	16686	0.96
2097	   passenger	n	16933	0.95
2098	   assistance	n	17396	0.92
2099	   forever	r	16890	0.95
2100	   fun	j	16932	0.94
2101	   regard	v	16890	0.94
2102	   Israeli	j	17967	0.89
2103	   association	n	17759	0.90
2104	   twenty	m	17491	0.91
2105	   knock	v	17146	0.93
2106	   review	v	16916	0.94
2107	   wrap	v	17073	0.93
2108	   lab	n	16498	0.96
2109	   offer	n	16612	0.95
2110	   display	v	16806	0.94
2111	   criticism	n	17049	0.93
2112	   asset	n	16977	0.93
2113	   depression	n	16976	0.93
2114	   spiritual	j	17074	0.92
2115	   musical	j	16931	0.93
2116	   journalist	n	16858	0.93
2117	   prayer	n	16296	0.97
2118	   suspect	v	16194	0.97
2119	   scholar	n	17482	0.90
2120	   warning	n	16205	0.97
2121	   climate	n	17189	0.91
2122	   cheese	n	17416	0.90
2123	   observation	n	17500	0.90
2124	   childhood	n	16268	0.96
2125	   payment	n	16704	0.94
2126	   sir	n	17733	0.88
2127	   permit	v	16764	0.93
2128	   cigarette	n	17160	0.91
2129	   definition	n	17499	0.89
2130	   priority	n	16586	0.94
2131	   bread	n	16686	0.94
2132	   creation	n	16967	0.92
2133	   graduate	n	16803	0.93
2134	   request	n	16241	0.96
2135	   emotion	n	16062	0.97
2136	   scream	v	17342	0.90
2137	   dramatic	j	16233	0.96
2138	   universe	n	16596	0.94
2139	   gap	n	16216	0.96
2140	   excellent	j	16094	0.96
2141	   deeply	r	15848	0.98
2142	   prosecutor	n	17260	0.90
2143	   mark	n	15973	0.97
2144	   green	n	16776	0.92
2145	   lucky	j	16550	0.94
2146	   drag	v	16685	0.93
2147	   airline	n	17164	0.90
2148	   library	n	16314	0.95
2149	   agenda	n	16449	0.94
2150	   recover	v	15786	0.98
2151	   factory	n	16240	0.95
2152	   selection	n	16706	0.92
2153	   primarily	r	17015	0.91
2154	   roof	n	16520	0.93
2155	   unable	j	15901	0.97
2156	   expense	n	16274	0.94
2157	   initiative	n	16445	0.93
2158	   diet	n	16933	0.90
2159	   arrest	v	16205	0.94
2160	   funding	n	16282	0.94
2161	   therapy	n	16351	0.93
2162	   wash	v	16314	0.93
2163	   schedule	n	15987	0.95
2164	   sad	j	16163	0.94
2165	   brief	j	15770	0.96
2166	   housing	n	16403	0.93
2167	   post	n	15693	0.97
2168	   purchase	v	16064	0.94
2169	   existing	j	16654	0.91
2170	   dark	n	16865	0.90
2171	   steel	n	15982	0.95
2172	   regarding	i	17220	0.88
2173	   shout	v	17239	0.88
2174	   remaining	j	15992	0.95
2175	   visual	j	17316	0.87
2176	   fairly	r	15701	0.96
2177	   chip	n	16162	0.94
2178	   violent	j	15765	0.96
2179	   silent	j	16802	0.90
2180	   suppose	v	16562	0.91
2181	   self	n	16708	0.90
2182	   bike	n	17306	0.87
2183	   tea	n	16373	0.92
2184	   perceive	v	17180	0.88
2185	   comparison	n	16809	0.90
2186	   settlement	n	16172	0.93
2187	   layer	n	16250	0.92
2188	   planning	n	16434	0.91
2189	   far	c	16006	0.94
2190	   description	n	16415	0.91
2191	   later	j	15734	0.95
2192	   slow	v	15633	0.96
2193	   slide	v	16805	0.89
2194	   widely	r	16000	0.93
2195	   wedding	n	15829	0.94
2196	   inform	v	15725	0.95
2197	   portion	n	15677	0.95
2198	   territory	n	15831	0.94
2199	   immediate	j	15680	0.95
2200	   opponent	n	15803	0.94
2201	   abandon	v	15323	0.97
2202	   link	n	15738	0.94
2203	   mass	j	15939	0.93
2204	   lake	n	15836	0.94
2205	   transform	v	15815	0.94
2206	   tension	n	15614	0.95
2207	   display	n	15575	0.95
2208	   leading	j	15665	0.95
2209	   bother	v	15870	0.94
2210	   consist	v	16648	0.89
2211	   alcohol	n	15877	0.93
2212	   enable	v	16293	0.91
2213	   bend	v	16285	0.91
2214	   saving	n	15917	0.93
2215	   gain	n	15822	0.94
2216	   desert	n	15653	0.94
2217	   shall	v	15997	0.92
2218	   error	n	15980	0.93
2219	   release	n	15540	0.95
2220	   cop	n	16228	0.91
2221	   Arab	j	16732	0.88
2222	   double	j	15233	0.97
2223	   walk	n	15632	0.94
2224	   sand	n	15658	0.94
2225	   Spanish	j	15512	0.95
2226	   rule	v	15310	0.96
2227	   hit	n	15766	0.93
2228	   print	n	15634	0.94
2229	   preserve	v	15527	0.95
2230	   passage	n	15702	0.93
2231	   formal	j	16078	0.91
2232	   transition	n	16058	0.91
2233	   existence	n	15969	0.92
2234	   album	n	15869	0.92
2235	   participation	n	17187	0.85
2236	   arrange	v	15258	0.96
2237	   atmosphere	n	15310	0.95
2238	   joint	j	15444	0.95
2239	   reply	v	16312	0.89
2240	   cycle	n	15775	0.93
2241	   opposite	j	15554	0.94
2242	   lock	v	15616	0.93
2243	   whole	n	15558	0.94
2244	   deserve	v	14944	0.97
2245	   consistent	j	16334	0.89
2246	   resistance	n	15686	0.93
2247	   discovery	n	15358	0.95
2248	   tear	v	15575	0.93
2249	   exposure	n	15979	0.91
2250	   pose	v	15230	0.95
2251	   stream	n	15400	0.94
2252	   sale	n	15351	0.94
2253	   trust	n	15170	0.96
2254	   benefit	v	15424	0.94
2255	   pot	n	15407	0.94
2256	   grand	j	15659	0.93
2257	   mine	p	15794	0.92
2258	   hello	u	16600	0.87
2259	   coalition	n	15720	0.92
2260	   tale	n	15004	0.97
2261	   knife	n	15792	0.92
2262	   resolve	v	15260	0.95
2263	   racial	j	15687	0.92
2264	   phase	n	16045	0.90
2265	   present	n	15267	0.95
2266	   joke	n	15284	0.95
2267	   coat	n	16010	0.90
2268	   Mexican	j	15514	0.93
2269	   symptom	n	15886	0.91
2270	   contact	v	15359	0.94
2271	   manufacturer	n	15741	0.92
2272	   philosophy	n	15746	0.92
2273	   potato	n	15561	0.93
2274	   interview	v	15687	0.92
2275	   foundation	n	15273	0.94
2276	   quote	v	15415	0.93
2277	   online	j	15848	0.91
2278	   pass	n	15599	0.92
2279	   negotiation	n	15680	0.92
2280	   good	n	15259	0.94
2281	   urge	v	14894	0.96
2282	   occasion	n	14792	0.97
2283	   dust	n	15475	0.93
2284	   breathe	v	15813	0.91
2285	   elect	v	15350	0.93
2286	   investigator	n	15258	0.94
2287	   jacket	n	15692	0.91
2288	   glad	j	15556	0.92
2289	   ordinary	j	14776	0.97
2290	   reduction	n	15862	0.90
2291	   rarely	r	14912	0.96
2292	   shift	n	15114	0.94
2293	   pack	v	15169	0.94
2294	   suicide	n	15145	0.94
2295	   numerous	j	15389	0.93
2296	   touch	n	14939	0.95
2297	   substance	n	15909	0.89
2298	   discipline	n	15684	0.91
2299	   elsewhere	r	14884	0.95
2300	   iron	n	15043	0.94
2301	   practical	j	15303	0.93
2302	   moreover	r	16163	0.88
2303	   passion	n	14632	0.97
2304	   volunteer	n	14958	0.95
2305	   implement	v	16124	0.88
2306	   essentially	r	15020	0.94
2307	   gene	n	15377	0.92
2308	   enforcement	n	15052	0.94
2309	   vs	i	16003	0.88
2310	   sauce	n	15903	0.88
2311	   independence	n	15259	0.92
2312	   marketing	n	15259	0.92
2313	   priest	n	14889	0.94
2314	   amazing	j	15124	0.93
2315	   intense	j	14452	0.97
2316	   advance	n	14645	0.96
2317	   employer	n	14846	0.94
2318	   shock	n	14551	0.96
2319	   inspire	v	14771	0.95
2320	   adjust	v	14564	0.96
2321	   retire	v	14979	0.93
2322	   sure	r	14854	0.94
2323	   visible	j	14691	0.95
2324	   kiss	v	16128	0.87
2325	   illness	n	14726	0.95
2326	   cap	n	14672	0.95
2327	   habit	n	14501	0.96
2328	   competitive	j	14938	0.93
2329	   juice	n	15388	0.90
2330	   congressional	j	14936	0.93
2331	   involvement	n	15640	0.89
2332	   dominate	v	14768	0.94
2333	   previously	r	15092	0.92
2334	   whenever	r	14484	0.96
2335	   transfer	v	14686	0.95
2336	   analyze	v	15587	0.89
2337	   another	p	14441	0.96
2338	   attach	v	14552	0.95
2339	   for	c	14594	0.95
2340	   Indian	n	15021	0.92
2341	   disaster	n	14684	0.95
2342	   parking	n	14970	0.93
2343	   prospect	n	14521	0.95
2344	   boss	n	14587	0.95
2345	   complaint	n	14551	0.95
2346	   championship	n	16008	0.86
2347	   coach	v	15910	0.87
2348	   exercise	v	14766	0.94
2349	   fundamental	j	15199	0.91
2350	   severe	j	14609	0.95
2351	   enhance	v	15393	0.90
2352	   mystery	n	14211	0.97
2353	   impose	v	14881	0.93
2354	   poverty	n	14891	0.93
2355	   other	i	14165	0.97
2356	   entry	n	14643	0.94
2357	   fat	j	14826	0.93
2358	   spending	n	14965	0.92
2359	   king	n	14445	0.95
2360	   evaluate	v	15780	0.87
2361	   symbol	n	14596	0.94
2362	   still	j	14308	0.96
2363	   trade	v	14624	0.94
2364	   maker	n	14586	0.94
2365	   mood	n	14227	0.96
2366	   accomplish	v	14325	0.96
2367	   emphasis	n	15337	0.89
2368	   illustrate	v	15091	0.91
2369	   boot	n	15033	0.91
2370	   monitor	v	14499	0.94
2371	   Asian	j	14873	0.92
2372	   entertainment	n	14615	0.94
2373	   bean	n	14996	0.91
2374	   evaluation	n	16213	0.84
2375	   creature	n	14852	0.92
2376	   commander	n	14425	0.94
2377	   digital	j	15048	0.90
2378	   arrangement	n	14403	0.94
2379	   concentrate	v	14155	0.96
2380	   total	n	14559	0.93
2381	   usual	j	14305	0.95
2382	   anger	n	14241	0.95
2383	   psychological	j	15249	0.89
2384	   heavily	r	13964	0.97
2385	   peak	n	14481	0.94
2386	   approximately	r	15172	0.89
2387	   increasing	j	14886	0.91
2388	   disorder	n	14780	0.92
2389	   missile	n	15147	0.89
2390	   equally	r	14389	0.94
2391	   vary	v	14954	0.90
2392	   wire	n	14310	0.95
2393	   round	n	14539	0.93
2394	   distribution	n	15249	0.89
2395	   transportation	n	14516	0.93
2396	   holy	j	14090	0.96
2397	   ring	v	14757	0.91
2398	   twin	n	14610	0.92
2399	   command	n	14022	0.96
2400	   commission	n	14371	0.94
2401	   interpretation	n	15613	0.86
2402	   breakfast	n	14397	0.93
2403	   stop	n	14117	0.95
2404	   strongly	r	14459	0.93
2405	   engineering	n	14853	0.90
2406	   luck	n	14186	0.95
2407	   so-called	j	14065	0.96
2408	   constant	j	14069	0.95
2409	   race	v	14233	0.94
2410	   clinic	n	14016	0.96
2411	   veteran	n	14366	0.93
2412	   smell	v	15214	0.88
2413	   tablespoon	n	15804	0.85
2414	   capable	j	13933	0.96
2415	   nervous	j	14100	0.95
2416	   tourist	n	13895	0.96
2417	   light	v	14720	0.91
2418	   toss	v	14565	0.92
2419	   crucial	j	14234	0.94
2420	   bury	v	14030	0.95
2421	   pray	v	14006	0.95
2422	   tomato	n	14864	0.89
2423	   exception	n	14136	0.94
2424	   butter	n	14780	0.90
2425	   deficit	n	15008	0.88
2426	   bathroom	n	14725	0.90
2427	   objective	n	15107	0.88
2428	   block	v	13688	0.97
2429	   electronic	j	14057	0.94
2430	   ally	n	14025	0.94
2431	   journey	n	13599	0.97
2432	   reputation	n	13681	0.96
2433	   mixture	n	14856	0.89
2434	   surely	r	13904	0.95
2435	   tower	n	13948	0.95
2436	   smoke	n	14327	0.92
2437	   confront	v	13757	0.96
2438	   pure	j	13671	0.96
2439	   glance	v	16008	0.82
2440	   dimension	n	14965	0.88
2441	   toy	n	13935	0.94
2442	   prisoner	n	13928	0.94
2443	   fellow	j	13585	0.97
2444	   smooth	j	14148	0.93
2445	   nearby	j	13820	0.95
2446	   peer	n	14738	0.89
2447	   designer	n	14210	0.92
2448	   personnel	n	14095	0.93
2449	   shape	v	13859	0.94
2450	   educator	n	15447	0.85
2451	   relative	n	13541	0.97
2452	   immigration	n	14526	0.90
2453	   belt	n	13826	0.94
2454	   teaspoon	n	15767	0.83
2455	   birthday	n	13757	0.95
2456	   implication	n	14791	0.88
2457	   perfectly	r	13671	0.95
2458	   coast	n	13515	0.96
2459	   supporter	n	13970	0.93
2460	   accompany	v	13666	0.95
2461	   silver	n	14033	0.92
2462	   teenager	n	13615	0.95
2463	   recognition	n	14249	0.91
2464	   retirement	n	13964	0.93
2465	   flag	n	13655	0.95
2466	   recovery	n	13703	0.95
2467	   whisper	v	15383	0.84
2468	   watch	n	13996	0.93
2469	   gentleman	n	14648	0.88
2470	   corn	n	13739	0.94
2471	   moon	n	13959	0.92
2472	   inner	j	13545	0.95
2473	   junior	j	13797	0.93
2474	   rather	c	13611	0.95
2475	   throat	n	14681	0.88
2476	   salary	n	13885	0.93
2477	   swing	v	14317	0.90
2478	   observer	n	13806	0.93
2479	   due	j	13252	0.97
2480	   straight	j	13474	0.96
2481	   publication	n	14045	0.92
2482	   pretty	j	13951	0.92
2483	   crop	n	13733	0.94
2484	   dig	v	13633	0.94
2485	   strike	n	13686	0.94
2486	   permanent	j	13390	0.96
2487	   plant	v	13526	0.95
2488	   phenomenon	n	14087	0.91
2489	   anxiety	n	14088	0.91
2490	   unlike	i	13248	0.97
2491	   wet	j	13963	0.92
2492	   literally	r	13425	0.95
2493	   resist	v	13330	0.96
2494	   convention	n	14497	0.88
2495	   embrace	v	13183	0.97
2496	   supply	v	13399	0.95
2497	   assist	v	13748	0.93
2498	   exhibition	n	13987	0.91
2499	   construct	v	14234	0.89
2500	   viewer	n	13479	0.94
2501	   pan	n	14148	0.90
2502	   consultant	n	13646	0.93
2503	   soon	c	13547	0.94
2504	   line	v	13373	0.95
2505	   administrator	n	14058	0.90
2506	   date	v	13231	0.96
2507	   occasionally	r	13321	0.95
2508	   mayor	n	13903	0.91
2509	   consideration	n	14047	0.90
2510	   CEO	n	13956	0.91
2511	   secure	v	13181	0.96
2512	   pink	j	13849	0.91
2513	   smoke	v	13438	0.94
2514	   estimate	n	13718	0.92
2515	   buck	n	13693	0.92
2516	   historic	j	13507	0.94
2517	   poem	n	13702	0.92
2518	   grandmother	n	13670	0.92
2519	   bind	v	13109	0.96
2520	   fifth	m	13150	0.96
2521	   constantly	r	13033	0.97
2522	   enterprise	n	13542	0.93
2523	   favor	v	13235	0.95
2524	   testing	n	13725	0.92
2525	   stomach	n	13845	0.91
2526	   apparent	j	13434	0.93
2527	   weigh	v	13051	0.96
2528	   install	v	13584	0.92
2529	   sensitive	j	13115	0.96
2530	   suggestion	n	13145	0.95
2531	   mail	n	13024	0.96
2532	   recipe	n	13840	0.90
2533	   reasonable	j	13130	0.95
2534	   preparation	n	13553	0.92
2535	   wooden	j	13518	0.92
2536	   elementary	j	13831	0.90
2537	   concert	n	13270	0.94
2538	   aggressive	j	13191	0.95
2539	   false	j	12871	0.97
2540	   intention	n	13207	0.94
2541	   channel	n	12975	0.96
2542	   extreme	j	13064	0.95
2543	   tube	n	13364	0.93
2544	   drawing	n	13377	0.93
2545	   protein	n	14036	0.89
2546	   quit	v	13045	0.95
2547	   absence	n	13597	0.92
2548	   roll	n	13053	0.95
2549	   Latin	j	13797	0.90
2550	   rapidly	r	13066	0.95
2551	   jail	n	13324	0.93
2552	   comment	v	12930	0.96
2553	   diversity	n	13872	0.89
2554	   honest	j	12916	0.96
2555	   Palestinian	j	14008	0.88
2556	   pace	n	12891	0.96
2557	   employment	n	13673	0.90
2558	   speaker	n	12889	0.96
2559	   impression	n	12746	0.97
2560	   essay	n	13802	0.89
2561	   respondent	n	15057	0.82
2562	   giant	j	12963	0.95
2563	   cake	n	13336	0.92
2564	   historian	n	13437	0.92
2565	   negotiate	v	13043	0.94
2566	   restore	v	12814	0.96
2567	   substantial	j	13376	0.92
2568	   pop	v	13123	0.93
2569	   particular	r	13259	0.92
2570	   specialist	n	13041	0.94
2571	   origin	n	13654	0.90
2572	   approval	n	12795	0.96
2573	   mine	n	12824	0.95
2574	   quietly	r	13503	0.91
2575	   advise	v	12709	0.96
2576	   conventional	j	13209	0.93
2577	   drop	n	12757	0.96
2578	   count	n	13007	0.94
2579	   depth	n	12927	0.95
2580	   wealth	n	12886	0.95
2581	   disability	n	14197	0.86
2582	   shell	n	12957	0.94
2583	   general	r	13256	0.92
2584	   criticize	v	12906	0.94
2585	   fast	j	12738	0.96
2586	   professional	n	13402	0.91
2587	   effectively	r	13277	0.92
2588	   biological	j	13233	0.92
2589	   pack	n	13238	0.92
2590	   onion	n	13769	0.88
2591	   deputy	n	12972	0.94
2592	   flat	j	12899	0.94
2593	   brand	n	13103	0.93
2594	   assure	v	12542	0.97
2595	   mad	j	12903	0.94
2596	   award	n	12874	0.94
2597	   criteria	n	14160	0.86
2598	   dealer	n	12999	0.93
2599	   via	i	13064	0.93
2600	   alternative	j	13289	0.91
2601	   utility	n	13150	0.92
2602	   precisely	r	12878	0.94
2603	   arise	v	13351	0.91
2604	   armed	j	12966	0.93
2605	   nevertheless	r	13190	0.92
2606	   highway	n	12649	0.96
2607	   clinical	j	13593	0.89
2608	   routine	n	12576	0.96
2609	   schedule	v	12881	0.94
2610	   wage	n	13033	0.93
2611	   normally	r	12402	0.97
2612	   phrase	n	12558	0.96
2613	   ingredient	n	13382	0.90
2614	   stake	n	12603	0.96
2615	   Muslim	j	13147	0.92
2616	   dream	v	12887	0.93
2617	   fiber	n	13606	0.88
2618	   activist	n	12737	0.94
2619	   Islamic	j	13323	0.90
2620	   snap	v	13362	0.90
2621	   terrorism	n	13806	0.87
2622	   refugee	n	13010	0.92
2623	   incorporate	v	13310	0.90
2624	   hip	n	12863	0.93
2625	   ultimate	j	12542	0.95
2626	   switch	v	12508	0.95
2627	   corporation	n	12612	0.95
2628	   valuable	j	12628	0.94
2629	   assumption	n	13434	0.89
2630	   gear	n	12872	0.93
2631	   graduate	v	12480	0.95
2632	   barrier	n	12772	0.93
2633	   minor	j	12346	0.96
2634	   provision	n	13256	0.90
2635	   killer	n	12631	0.94
2636	   assign	v	12836	0.93
2637	   gang	n	12662	0.94
2638	   developing	j	13171	0.90
2639	   classic	j	12610	0.94
2640	   chemical	n	12673	0.94
2641	   wave	v	13567	0.87
2642	   label	n	12497	0.95
2643	   teen	n	12663	0.94
2644	   index	n	12751	0.93
2645	   vacation	n	12424	0.95
2646	   advocate	n	12565	0.94
2647	   draft	n	12684	0.93
2648	   extraordinary	j	12356	0.96
2649	   heaven	n	12461	0.95
2650	   rough	j	12365	0.96
2651	   yell	v	13131	0.90
2652	   pregnant	j	12329	0.96
2653	   distant	j	12542	0.94
2654	   drama	n	12393	0.95
2655	   satellite	n	12438	0.94
2656	   personally	r	12317	0.95
2657	   wonder	n	12265	0.96
2658	   clock	n	12395	0.95
2659	   chocolate	n	12682	0.92
2660	   Italian	j	12384	0.95
2661	   Canadian	j	12820	0.91
2662	   ceiling	n	12668	0.92
2663	   sweep	v	12431	0.94
2664	   advertising	n	12601	0.93
2665	   universal	j	12590	0.93
2666	   spin	v	12673	0.92
2667	   house	v	12268	0.95
2668	   button	n	12552	0.93
2669	   bell	n	12421	0.94
2670	   rank	n	12236	0.95
2671	   darkness	n	13275	0.88
2672	   ahead	i	12125	0.96
2673	   clothing	n	12078	0.96
2674	   super	j	12586	0.92
2675	   yield	v	12634	0.92
2676	   fence	n	12390	0.94
